form,data
кафедре,"кафедра,NOUN,Inan,Loc,Fem,Sing"
польского,"польский,ADJ,Gen,Pos,Masc,Sing"
языка,"язык,NOUN,Inan,Gen,Masc,Sing"
(,"(,PUNCT,None"
в,"в,ADP,None"
период,"период,NOUN,Inan,Acc,Masc,Sing"
1939,"1939,ADJ,Nom,Pos,Masc,Sing"
--,"--,PUNCT,None"
1941,"1941,ADJ,Nom,Pos,Masc,Sing"
и,"и,CCONJ,None"
1944,"1944,ADJ,Nom,Pos,Masc,Sing"
--,"--,PUNCT,None"
1945,"1945,ADJ,Nom,Pos,Masc,Sing"
),"),PUNCT,None"
.,".,PUNCT,None"
Мужчинам,"мужчина,NOUN,Anim,Dat,Masc,Plur"
и,"и,CCONJ,None"
женщинам,"женщина,NOUN,Anim,Dat,Fem,Plur"
рекомендуют,"рекомендовать,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
не,"не,PART,Neg"
носить,"носить,VERB,Imp,Inf,Act"
шорты,"шорты,NOUN,Inan,Acc,Masc,Plur"
и,"и,CCONJ,None"
обтягивающую,"обтягивать,VERB,Inan,Imp,Acc,Fem,Sing,Pres,Part,Act"
одежду,"одежда,NOUN,Inan,Acc,Fem,Sing"
за,"за,ADP,None"
пределами,"предел,NOUN,Inan,Ins,Masc,Plur"
туристических,"туристический,ADJ,Gen,Pos,Plur"
комплексов,"комплекс,NOUN,Inan,Gen,Masc,Plur"
.,".,PUNCT,None"
Среди,"среди,ADP,None"
депутатов,"депутат,NOUN,Anim,Gen,Masc,Plur"
тогда,"тогда,ADV,Pos"
было,"быть,VERB,Imp,Neut,Ind,Sing,Past,Fin,Act"
64,"64,NUM,Anim,Nom,Card"
мужчины,"мужчина,NOUN,Anim,Gen,Masc,Sing"
и,"и,CCONJ,None"
28,"28,NUM,Nom,Card"
женщин,"женщина,NOUN,Anim,Gen,Fem,Plur"
.,".,PUNCT,None"
Среди,"среди,ADP,None"
продукции,"продукция,NOUN,Inan,Gen,Fem,Sing"
области,"область,NOUN,Inan,Gen,Fem,Sing"
были,"быть,VERB,Imp,Ind,Plur,Past,Fin,Act"
грузовые,"грузовой,ADJ,Nom,Pos,Plur"
автомобили,"автомобиль,NOUN,Inan,Nom,Masc,Plur"
",",",,PUNCT,None"
дорожные,"дорожный,ADJ,Nom,Pos,Plur"
машины,"машина,NOUN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
суда,"судно,NOUN,Inan,Nom,Neut,Plur"
",",",,PUNCT,None"
авиадвигатели,"авиадвигатель,NOUN,Inan,Nom,Masc,Plur"
",",",,PUNCT,None"
электромоторы,"электромотор,NOUN,Inan,Nom,Masc,Plur"
",",",,PUNCT,None"
станки,"станок,NOUN,Inan,Nom,Masc,Plur"
",",",,PUNCT,None"
полиграфические,"полиграфический,ADJ,Nom,Pos,Plur"
машины,"машина,NOUN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
синтетический,"синтетический,ADJ,Nom,Pos,Masc,Sing"
каучук,"каучук,NOUN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
автомобильные,"автомобильный,ADJ,Nom,Pos,Plur"
шины,"шина,NOUN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
лакокрасочные,"лакокрасочный,ADJ,Nom,Pos,Plur"
изделия,"изделие,NOUN,Inan,Nom,Neut,Plur"
",",",,PUNCT,None"
обувь,"обувь,NOUN,Inan,Nom,Fem,Sing"
",",",,PUNCT,None"
текстильные,"текстильный,ADJ,Nom,Pos,Plur"
изделия,"изделие,NOUN,Inan,Nom,Neut,Plur"
",",",,PUNCT,None"
все,"весь,DET,Nom,Plur"
виды,"вид,NOUN,Inan,Nom,Masc,Plur"
изделий,"изделие,NOUN,Inan,Gen,Neut,Plur"
народного,"народный,ADJ,Gen,Pos,Neut,Sing"
потребления,"потребление,NOUN,Inan,Gen,Neut,Sing"
.,".,PUNCT,None"
Происхождение,"происхождение,NOUN,Inan,Nom,Neut,Sing"
триплоидов,"триплоид,NOUN,Inan,Gen,Masc,Plur"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
Golden,"golden,X,Yes"
Yellow,"yellow,X,Yes"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
неизвестно,"неизвестный,ADJ,Pos,Neut,Sing,Short"
.,".,PUNCT,None"
Etmopterus,"Etmopterus,X,Yes"
evansi,"Evansi,X,Yes"
обитают,"обитать,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
в,"в,ADP,None"
восточной,"восточный,ADJ,Loc,Pos,Fem,Sing"
части,"часть,NOUN,Inan,Loc,Fem,Sing"
Индийского,"индийский,ADJ,Gen,Pos,Masc,Sing"
океана,"океан,NOUN,Inan,Gen,Masc,Sing"
у,"у,ADP,None"
берегов,"берег,NOUN,Inan,Gen,Masc,Plur"
Австралии,"Австралия,PROPN,Inan,Gen,Fem,Sing"
и,"и,CCONJ,None"
Индонезии,"Индонезия,PROPN,Inan,Gen,Fem,Sing"
.,".,PUNCT,None"
Два,"два,NUM,Anim,Nom,Masc,Card"
матроса,"матрос,NOUN,Anim,Gen,Masc,Sing"
выжили,"выжить,VERB,Perf,Ind,Plur,Past,Fin,Act"
",",",,PUNCT,None"
цепляясь,"цепляться,VERB,Imp,Pres,Conv,Act"
за,"за,ADP,None"
кусок,"кусок,NOUN,Inan,Acc,Masc,Sing"
кормовой,"кормовой,ADJ,Gen,Pos,Fem,Sing"
галереи,"галерея,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
отломившейся,"отломиться,VERB,Inan,Perf,Gen,Fem,Sing,Past,Part,Act"
когда,"когда,SCONJ,None"
корабль,"корабль,NOUN,Inan,Nom,Masc,Sing"
пошел,"пойти,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
ко,"ко,ADP,None"
дну,"дно,NOUN,Inan,Dat,Neut,Sing"
.,".,PUNCT,None"
Название,"название,NOUN,Inan,Nom,Neut,Sing"
происходит,"происходить,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
от,"от,ADP,None"
образа,"образ,NOUN,Inan,Gen,Masc,Sing"
скрытых,"скрыть,VERB,Inan,Perf,Gen,Plur,Past,Part,Pass"
под,"под,ADP,None"
ледяной,"ледяной,ADJ,Ins,Pos,Fem,Sing"
бронёй,"броня,NOUN,Inan,Ins,Fem,Sing"
истинных,"истинный,ADJ,Gen,Pos,Plur"
ценностей,"ценность,NOUN,Inan,Gen,Fem,Plur"
",",",,PUNCT,None"
которые,"который,PRON,Inan,Acc,Plur"
обнаружить,"обнаружить,VERB,Perf,Inf,Act"
трудно,"трудный,ADJ,Pos,Neut,Sing,Short"
.,".,PUNCT,None"
В,"в,ADP,None"
60х,"60х,ADJ,Loc,Pos,Plur"
годах,"год,NOUN,Inan,Loc,Masc,Plur"
авиакомпания,"авиакомпания,NOUN,Inan,Nom,Fem,Sing"
American,"american,X,Yes"
Airlines,"Airlines,X,Yes"
обратилась,"обратиться,VERB,Perf,Fem,Ind,Sing,Past,Fin,Mid"
к,"к,ADP,None"
конкурирующим,"конкурировать,VERB,Inan,Imp,Loc,Plur,Pres,Part,Act"
компаниям,"компания,NOUN,Inan,Dat,Fem,Plur"
",",",,PUNCT,None"
производителям,"производитель,NOUN,Inan,Dat,Masc,Plur"
Lockheed,"Lockheed,X,Yes"
и,"и,CCONJ,None"
Douglas,"Douglas,X,Yes"
(,"(,PUNCT,None"
позднее,"позднее,ADV,Cmp"
McDonnell,"Mcdonnell,X,Yes"
Douglas,"Douglas,X,Yes"
),"),PUNCT,None"
с,"с,ADP,None"
запросом,"запрос,NOUN,Inan,Ins,Masc,Sing"
на,"на,ADP,None"
создание,"создание,NOUN,Inan,Acc,Neut,Sing"
авиалайнера,"авиалайнер,NOUN,Inan,Gen,Masc,Sing"
меньшего,"меньший,ADJ,Gen,Pos,Masc,Sing"
чем,"чем,SCONJ,None"
Boeing,"Boeing,PROPN,Inan,Nom,Masc,Sing"
747,"747,NUM,Nom,Card"
",",",,PUNCT,None"
но,"но,CCONJ,None"
способного,"способный,ADJ,Gen,Pos,Masc,Sing"
перевозить,"перевозить,VERB,Imp,Inf,Act"
большое,"большой,ADJ,Acc,Pos,Neut,Sing"
количество,"количество,NOUN,Inan,Acc,Neut,Sing"
пассажиров,"пассажир,NOUN,Anim,Gen,Masc,Plur"
на,"на,ADP,None"
дальние,"дальний,ADJ,Inan,Acc,Pos,Plur"
расстояния,"расстояние,NOUN,Inan,Acc,Neut,Plur"
",",",,PUNCT,None"
например,"например,ADV,Pos"
в,"в,ADP,None"
Лондон,"Лондон,PROPN,Inan,Acc,Masc,Sing"
и,"и,CCONJ,None"
Латинскую,"латинский,ADJ,Acc,Pos,Fem,Sing"
Америку,"Америка,PROPN,Inan,Acc,Fem,Sing"
из,"из,ADP,None"
узловых,"узловой,ADJ,Gen,Pos,Plur"
аэропортов,"аэропорт,NOUN,Inan,Gen,Masc,Plur"
авиакомпании,"авиакомпания,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
расположенных,"расположить,VERB,Inan,Perf,Gen,Plur,Past,Part,Pass"
в,"в,ADP,None"
Далласе,"Даллас,PROPN,Inan,Loc,Masc,Sing"
(,"(,PUNCT,None"
международный,"международный,ADJ,Nom,Pos,Masc,Sing"
аэропорт,"аэропорт,NOUN,Inan,Nom,Masc,Sing"
Даллас,"Даллас,PROPN,Inan,Nom,Masc,Sing"
/,"/,SYM,None"
Форт,"форт,PROPN,Inan,Nom,Masc,Sing"
-,"-,PUNCT,None"
Уэрт,"Уэрт,PROPN,Inan,Nom,Masc,Sing"
),"),PUNCT,None"
и,"и,CCONJ,None"
Нью-Йорке,"Нью-Йорк,PROPN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
плюсы,"плюс,NOUN,Inan,Acc,Masc,Plur"
были,"быть,AUX,Imp,Ind,Plur,Past,Fin"
записаны,"записать,VERB,Inan,Perf,Nom,Plur,Past,Short,Part,Pass"
``,"``,PUNCT,None"
лёгкое,"легкий,ADJ,Nom,Pos,Neut,Sing"
управление,"управление,NOUN,Inan,Nom,Neut,Sing"
и,"и,CCONJ,None"
мультяшная,"мультяшный,ADJ,Nom,Pos,Fem,Sing"
графика,"график,NOUN,Inan,Nom,Fem,Sing"
",",",,PUNCT,None"
отлично,"отлично,ADV,Pos"
сочетающаяся,"сочетаться,VERB,Inan,Imp,Nom,Fem,Sing,Pres,Part,Act"
с,"с,ADP,None"
причудливым,"причудливый,ADJ,Ins,Pos,Masc,Sing"
юмором,"юмор,NOUN,Inan,Ins,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
В,"в,ADP,None"
этой,"этот,DET,Loc,Fem,Sing"
версии,"версия,NOUN,Inan,Loc,Fem,Sing"
появились,"появиться,VERB,Perf,Ind,Plur,Past,Fin,Mid"
возможность,"возможность,NOUN,Inan,Nom,Fem,Sing"
подписки,"подписка,NOUN,Inan,Gen,Fem,Sing"
и,"и,CCONJ,None"
предпросмотра,"предпросмотр,NOUN,Inan,Gen,Masc,Sing"
RSS,"RSS,PROPN,Yes"
-,"-,PUNCT,None"
лент,"лента,NOUN,Inan,Gen,Fem,Plur"
",",",,PUNCT,None"
загрузки,"загрузка,NOUN,Inan,Gen,Fem,Sing"
фотографий,"фотография,NOUN,Inan,Gen,Fem,Plur"
",",",,PUNCT,None"
сделанные,"сделать,VERB,Inan,Perf,Nom,Plur,Past,Part,Pass"
мобильным,"мобильный,ADJ,Ins,Pos,Neut,Sing"
устройством,"устройство,NOUN,Inan,Ins,Neut,Sing"
",",",,PUNCT,None"
и,"и,CCONJ,None"
содержание,"содержание,NOUN,Inan,Nom,Neut,Sing"
складывающихся,"складываться,VERB,Inan,Imp,Gen,Plur,Pres,Part,Act"
в,"в,ADP,None"
свой,"свой,DET,Inan,Acc,Masc,Sing"
перечень,"перечень,NOUN,Inan,Acc,Masc,Sing"
функций,"функция,NOUN,Inan,Gen,Fem,Plur"
и,"и,CCONJ,None"
возможностей,"возможность,NOUN,Inan,Gen,Fem,Plur"
.,".,PUNCT,None"
После,"после,ADP,None"
выхода,"выход,NOUN,Inan,Gen,Masc,Sing"
альбома,"альбом,NOUN,Inan,Gen,Masc,Sing"
группа,"группа,NOUN,Inan,Nom,Fem,Sing"
меняет,"менять,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
лейбл,"лейбл,NOUN,Inan,Acc,Masc,Sing"
.,".,PUNCT,None"
Этот,"этот,DET,Nom,Masc,Sing"
альбом,"альбом,NOUN,Inan,Nom,Masc,Sing"
содержит,"содержать,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
песню,"песня,NOUN,Inan,Acc,Fem,Sing"
``,"``,PUNCT,None"
Hard,"hard,X,Yes"
Rock,"rock,X,Yes"
Hallelujah,"hallelujah,X,Yes"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
",",",,PUNCT,None"
с,"с,ADP,None"
которой,"который,PRON,Inan,Ins,Fem,Sing"
группа,"группа,NOUN,Inan,Nom,Fem,Sing"
победила,"победить,VERB,Perf,Fem,Ind,Sing,Past,Fin,Act"
на,"на,ADP,None"
конкурсе,"конкурс,NOUN,Inan,Loc,Masc,Sing"
песни,"песня,NOUN,Inan,Gen,Fem,Sing"
``,"``,PUNCT,None"
Евровидение,"Евровидение,PROPN,Inan,Nom,Neut,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
в,"в,ADP,None"
2006,"2006,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Изображался,"изображаться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
в,"в,ADP,None"
образе,"образ,NOUN,Inan,Loc,Masc,Sing"
хохлатого,"хохлатый,ADJ,Gen,Pos,Masc,Sing"
ибиса,"ибис,NOUN,Anim,Gen,Masc,Sing"
в,"в,ADP,None"
Гелиополе,"Гелиополе,PROPN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Азербайджанские,"азербайджанский,ADJ,Nom,Pos,Plur"
лошади,"лошадь,NOUN,Anim,Nom,Fem,Plur"
отличаются,"отличаться,VERB,Imp,Ind,Plur,3,Pres,Fin,Mid"
долголетием,"долголетие,NOUN,Inan,Ins,Neut,Sing"
",",",,PUNCT,None"
выносливостью,"выносливость,NOUN,Inan,Ins,Fem,Sing"
",",",,PUNCT,None"
высокой,"высокий,ADJ,Ins,Pos,Fem,Sing"
работоспособностью,"работоспособность,NOUN,Inan,Ins,Fem,Sing"
",",",,PUNCT,None"
а,"а,CCONJ,None"
также,"также,CCONJ,None"
хорошо,"хорошо,ADV,Pos"
приспособлены,"приспособить,VERB,Anim,Perf,Nom,Plur,Past,Short,Part,Pass"
к,"к,ADP,None"
табунному,"табунный,ADJ,Dat,Pos,Neut,Sing"
содержанию,"содержание,NOUN,Inan,Dat,Neut,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
результате,"результат,NOUN,Inan,Loc,Masc,Sing"
военных,"военный,ADJ,Gen,Pos,Plur"
действий,"действие,NOUN,Inan,Gen,Neut,Plur"
(,"(,PUNCT,None"
обстрела,"обстрел,NOUN,Inan,Gen,Masc,Sing"
города,"город,NOUN,Inan,Gen,Masc,Sing"
),"),PUNCT,None"
в,"в,ADP,None"
городе,"город,NOUN,Inan,Loc,Masc,Sing"
и,"и,CCONJ,None"
библиотеке,"библиотека,NOUN,Inan,Loc,Fem,Sing"
случился,"случиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
большой,"большой,ADJ,Nom,Pos,Masc,Sing"
пожар,"пожар,NOUN,Inan,Nom,Masc,Sing"
и,"и,CCONJ,None"
часть,"часть,NOUN,Inan,Nom,Fem,Sing"
книг,"книга,NOUN,Inan,Gen,Fem,Plur"
сгорела,"сгореть,VERB,Perf,Fem,Ind,Sing,Past,Fin,Act"
.,".,PUNCT,None"
Несмотря,"несмотря,ADV,Pos"
на,"на,ADP,None"
некоторые,"некоторый,DET,Inan,Acc,Plur"
проблемы,"проблема,NOUN,Inan,Acc,Fem,Plur"
с,"с,ADP,None"
надежностью,"надежность,NOUN,Inan,Ins,Fem,Sing"
",",",,PUNCT,None"
Альборето,"Альборето,PROPN,Anim,Nom,Masc,Sing"
в,"в,ADP,None"
паре,"пара,NOUN,Inan,Loc,Fem,Sing"
с,"с,ADP,None"
Патрезе,"Патрезе,PROPN,Anim,Ins,Masc,Sing"
победил,"победить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
в,"в,ADP,None"
1000,"1000,NUM,Loc,Card"
километрах,"километр,NOUN,Inan,Loc,Masc,Plur"
Сильверстоуна,"Сильверстоун,PROPN,Inan,Gen,Masc,Sing"
и,"и,CCONJ,None"
1000,"1000,NUM,Loc,Card"
километрах,"километр,NOUN,Inan,Loc,Masc,Plur"
Нюрбургринга,"Нюрбургринг,PROPN,Inan,Gen,Masc,Sing"
",",",,PUNCT,None"
где,"где,ADV,None"
к,"к,ADP,None"
экипажу,"экипаж,NOUN,Inan,Dat,Masc,Sing"
присоединился,"присоединиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
Тео,"Тео,PROPN,Anim,Nom,Masc,Sing"
Фаби,"Фаби,PROPN,Anim,Nom,Masc,Sing"
.,".,PUNCT,None"
Между,"между,ADP,None"
тем,"то,PRON,Inan,Ins,Neut,Sing"
сценарий,"сценарий,NOUN,Inan,Nom,Masc,Sing"
был,"быть,AUX,Imp,Masc,Ind,Sing,Past,Fin"
смягчён,"смягчить,VERB,Inan,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
по,"по,ADP,None"
сравнению,"сравнение,NOUN,Inan,Dat,Neut,Sing"
с,"с,ADP,None"
книгой,"книга,NOUN,Inan,Ins,Fem,Sing"
с,"с,ADP,None"
тем,"то,PRON,Inan,Ins,Neut,Sing"
",",",,PUNCT,None"
чтобы,"чтобы,SCONJ,None"
представить,"представить,VERB,Perf,Inf,Act"
церковь,"церковь,NOUN,Inan,Acc,Fem,Sing"
в,"в,ADP,None"
довольно,"довольно,ADV,Pos"
выгодном,"выгодный,ADJ,Loc,Pos,Masc,Sing"
свете,"свет,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Родился,"родиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
в,"в,ADP,None"
деревне,"деревня,NOUN,Inan,Loc,Fem,Sing"
близ,"близ,ADP,None"
города,"город,NOUN,Inan,Gen,Masc,Sing"
Сосан,"Сосан,PROPN,Inan,Nom,Masc,Sing"
(,"(,PUNCT,None"
),"),PUNCT,None"
",",",,PUNCT,None"
в,"в,ADP,None"
юго-западной,"юго-западный,ADJ,Loc,Pos,Fem,Sing"
корейской,"корейский,ADJ,Loc,Pos,Fem,Sing"
провинции,"провинция,NOUN,Inan,Loc,Fem,Sing"
Чхунчхон,"Чхунчхон,PROPN,Inan,Nom,Fem,Sing"
-,"-,PUNCT,None"
Намдо,"намдо,PROPN,Inan,Nom,Fem,Sing"
.,".,PUNCT,None"
Варваций,"Варваций,PROPN,Anim,Nom,Masc,Sing"
заказал,"заказать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
проект,"проект,NOUN,Inan,Acc,Masc,Sing"
колокольни,"колокольня,NOUN,Inan,Gen,Fem,Sing"
известному,"известный,ADJ,Dat,Pos,Masc,Sing"
в,"в,ADP,None"
то,"тот,DET,Acc,Neut,Sing"
время,"время,NOUN,Inan,Acc,Neut,Sing"
в,"в,ADP,None"
России,"Россия,PROPN,Inan,Loc,Fem,Sing"
санкт-петербургскому,"санкт-петербургский,ADJ,Dat,Pos,Masc,Sing"
архитектору,"архитектор,NOUN,Anim,Dat,Masc,Sing"
Луиджи,"Луиджи,PROPN,Anim,Dat,Masc,Sing"
Руска,"Руска,PROPN,Anim,Dat,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
1891,"1891,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
дацан,"дацан,NOUN,Inan,Acc,Masc,Sing"
посетил,"посетить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
цесаревич,"цесаревич,NOUN,Anim,Nom,Masc,Sing"
Николай,"Николай,PROPN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
возвращавшийся,"возвращаться,VERB,Anim,Imp,Nom,Masc,Sing,Past,Part,Act"
из,"из,ADP,None"
кругосветного,"кругосветный,ADJ,Gen,Pos,Neut,Sing"
путешествия,"путешествие,NOUN,Inan,Gen,Neut,Sing"
.,".,PUNCT,None"
Дан,"Дан,PROPN,Anim,Nom,Masc,Sing"
Балан,"Балан,PROPN,Anim,Nom,Masc,Sing"
родился,"родиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
6,"6,ADJ,Gen,Pos,Neut,Sing"
февраля,"февраль,NOUN,Inan,Gen,Masc,Sing"
1979,"1979,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
в,"в,ADP,None"
столице,"столица,NOUN,Inan,Loc,Fem,Sing"
Молдавии,"Молдавия,PROPN,Inan,Gen,Fem,Sing"
Кишинёве,"Кишинев,PROPN,Inan,Loc,Masc,Sing"
в,"в,ADP,None"
семье,"семья,NOUN,Inan,Loc,Fem,Sing"
посла,"посол,NOUN,Anim,Gen,Masc,Sing"
Михая,"Михай,PROPN,Anim,Gen,Masc,Sing"
Балана,"Балан,PROPN,Anim,Gen,Masc,Sing"
и,"и,CCONJ,None"
телеведущей,"телеведущая,NOUN,Anim,Gen,Fem,Sing"
Людмилы,"Людмила,PROPN,Anim,Gen,Fem,Sing"
Балан,"Балан,PROPN,Anim,Gen,Fem,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
2006,"2006,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
в,"в,ADP,None"
городе,"город,NOUN,Inan,Loc,Masc,Sing"
было,"быть,VERB,Imp,Neut,Ind,Sing,Past,Fin,Act"
128430,"128430,NUM,Nom,Card"
жителей,"житель,NOUN,Anim,Gen,Masc,Plur"
",",",,PUNCT,None"
что,"что,PRON,Inan,Nom,Neut,Sing"
делало,"делать,VERB,Imp,Neut,Ind,Sing,Past,Fin,Act"
его,"он,PRON,Acc,Masc,Sing,3"
35-ым,"35-ый,ADJ,Ins,Pos,Masc,Sing"
по,"по,ADP,None"
населённости,"населенность,NOUN,Inan,Dat,Fem,Sing"
городом,"город,NOUN,Inan,Ins,Masc,Sing"
страны,"страна,NOUN,Inan,Gen,Fem,Sing"
.,".,PUNCT,None"
Влади́мир,"Владимир,PROPN,Anim,Nom,Masc,Sing"
Серге́евич,"Сергеевич,PROPN,Anim,Nom,Masc,Sing"
Бегуно́в,"Бегунов,PROPN,Anim,Nom,Masc,Sing"
(,"(,PUNCT,None"
род.,"родиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
25,"25,ADJ,Gen,Pos,Neut,Sing"
марта,"март,NOUN,Inan,Gen,Masc,Sing"
1959,"1959,ADJ,Gen,Pos,Masc,Sing"
",",",,PUNCT,None"
Гвардейское,"гвардейский,ADJ,Nom,Pos,Neut,Sing"
",",",,PUNCT,None"
Симферопольский,"симферопольский,ADJ,Nom,Pos,Masc,Sing"
район,"район,NOUN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
Крымская,"крымский,ADJ,Nom,Pos,Fem,Sing"
область,"область,NOUN,Inan,Nom,Fem,Sing"
),"),PUNCT,None"
--,"--,PUNCT,None"
российский,"российский,ADJ,Nom,Pos,Masc,Sing"
гитарист,"гитарист,NOUN,Anim,Nom,Masc,Sing"
и,"и,CCONJ,None"
автор,"автор,NOUN,Anim,Nom,Masc,Sing"
песен,"песня,NOUN,Inan,Gen,Fem,Plur"
",",",,PUNCT,None"
основатель,"основатель,NOUN,Anim,Nom,Masc,Sing"
и,"и,CCONJ,None"
бессменный,"бессменный,ADJ,Nom,Pos,Masc,Sing"
участник,"участник,NOUN,Anim,Nom,Masc,Sing"
группы,"группа,NOUN,Inan,Gen,Fem,Sing"
``,"``,PUNCT,None"
Чайф,"Чайф,PROPN,Inan,Nom,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
Департамент,"департамент,NOUN,Inan,Nom,Masc,Sing"
--,"--,PUNCT,None"
Аверон,"Аверон,PROPN,Inan,Nom,Masc,Sing"
.,".,PUNCT,None"
Беспорядки,"беспорядок,NOUN,Inan,Nom,Masc,Plur"
в,"в,ADP,None"
Энфильде,"Энфильд,PROPN,Inan,Loc,Masc,Sing"
были,"быть,AUX,Imp,Ind,Plur,Past,Fin"
организованы,"организовать,VERB,Inan,Perf,Nom,Plur,Past,Short,Part,Pass"
через,"через,ADP,None"
социальные,"социальный,ADJ,Inan,Acc,Pos,Plur"
сети,"сеть,NOUN,Inan,Acc,Fem,Plur"
.,".,PUNCT,None"
21,"21,ADJ,Gen,Pos,Neut,Sing"
мая,"май,NOUN,Inan,Gen,Masc,Sing"
Колокотрони,"Колокотрони,PROPN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
Теодор,"Теодор,PROPN,Anim,Nom,Masc,Sing"
и,"и,CCONJ,None"
Трупакис,"Трупакис,PROPN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
с,"с,ADP,None"
его,"его,DET,None"
250,"250,NUM,Ins,Card"
маниотами,"маниот,NOUN,Anim,Ins,Masc,Plur"
",",",,PUNCT,None"
организовывают,"организовывать,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
лагерь,"лагерь,NOUN,Inan,Acc,Masc,Sing"
в,"в,ADP,None"
Заракова,"Заракова,PROPN,Inan,Loc,Fem,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
часе,"час,NOUN,Inan,Loc,Masc,Sing"
хода,"ход,NOUN,Inan,Gen,Masc,Sing"
от,"от,ADP,None"
Триполи,"Триполи,PROPN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
Красной,"красный,ADJ,Loc,Pos,Fem,Sing"
Армии,"армия,NOUN,Inan,Loc,Fem,Sing"
с,"с,ADP,None"
1943,"1943,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Борисово,"Борисово,PROPN,Inan,Nom,Neut,Sing"
--,"--,PUNCT,None"
деревня,"деревня,NOUN,Inan,Nom,Fem,Sing"
в,"в,ADP,None"
Вашкинском,"вашкинский,ADJ,Loc,Pos,Masc,Sing"
районе,"район,NOUN,Inan,Loc,Masc,Sing"
Вологодской,"вологодский,ADJ,Gen,Pos,Fem,Sing"
области,"область,NOUN,Inan,Gen,Fem,Sing"
.,".,PUNCT,None"
Лишь,"лишь,PART,None"
мещанство,"мещанство,NOUN,Inan,Nom,Neut,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
большей,"больший,ADJ,Loc,Pos,Fem,Sing"
степени,"степень,NOUN,Inan,Loc,Fem,Sing"
остававшееся,"оставаться,VERB,Inan,Imp,Nom,Neut,Sing,Past,Part,Act"
верным,"верный,ADJ,Ins,Pos,Neut,Sing"
православию,"православие,NOUN,Inan,Dat,Neut,Sing"
",",",,PUNCT,None"
давало,"давать,VERB,Imp,Neut,Ind,Sing,Past,Fin,Act"
иезуитам,"иезуит,NOUN,Anim,Dat,Masc,Plur"
ощутимый,"ощутимый,ADJ,Inan,Acc,Pos,Masc,Sing"
политический,"политический,ADJ,Inan,Acc,Pos,Masc,Sing"
отпор,"отпор,NOUN,Inan,Acc,Masc,Sing"
",",",,PUNCT,None"
объединяясь,"объединяться,VERB,Imp,Pres,Conv,Act"
